Name,High Score
game,82
Shrood,58
Challenger,53
Alex,37
do,35
BrOkE,34
Alex,12
yes,4
adada,3
Alex,1
Alex,1
asdasd,1
ada,1
asd,1
asdasd,1
asdas,1
yes,0
